Pulse,Temperature,Time,Place,Outcome
82,38.9,11:00,Not Home,Lose
116,38.4,7:00,Home,Lose
75,39.3,11:00,Home,Win
109,38.9,15:00,Not Home,Lose
74,36.2,23:00,Not Home,Lose
97,37.5,17:00,Not Home,Win
60,39.3,19:00,Home,Win
70,35.2,16:00,Home,Win
52,38.6,14:00,Not Home,Lose
102,38.9,22:00,Home,Win
67,39.4,20:00,Home,Win
77,39,7:00,Home,Lose
103,35.2,21:00,Not Home,Win
119,37.9,6:00,Not Home,Lose
73,37.3,16:00,Home,Win
57,39,19:00,Not Home,Lose
105,38.2,21:00,Not Home,Lose
115,35.6,22:00,Home,Lose
117,35.4,13:00,Home,Lose
80,37.5,1:00,Not Home,Lose
61,37.8,1:00,Not Home,Lose
92,36.7,4:00,Home,Win
111,36.1,14:00,Home,Lose
76,36.5,7:00,Home,Win
93,37.1,21:00,Home,Win
61,35.4,6:00,Not Home,Lose
98,39.3,21:00,Not Home,Lose
51,39.1,16:00,Not Home,Lose
79,38,3:00,Home,Win
76,38.2,15:00,Not Home,Lose
76,38.9,7:00,Home,Lose
83,38.7,7:00,Home,Lose
111,36.6,11:00,Not Home,Lose
63,36.2,10:00,Not Home,Win
95,36.1,22:00,Home,Win
72,39.3,9:00,Home,Lose
67,38.6,15:00,Home,Win
52,36.2,9:00,Not Home,Lose
118,35.6,20:00,Not Home,Lose
90,36.9,16:00,Not Home,Win
113,37.2,1:00,Home,Lose
65,35.1,10:00,Not Home,Win
68,35.8,2:00,Not Home,Lose
73,36.9,6:00,Not Home,Lose
82,36.8,5:00,Home,Win
60,37.7,6:00,Not Home,Lose
103,38.7,18:00,Home,Win
117,38.6,20:00,Home,Lose
89,36.2,20:00,Not Home,Win
67,35.8,13:00,Home,Win
86,36.6,15:00,Home,Win
50,38.7,13:00,Not Home,Lose
86,38.4,11:00,Home,Win
114,36.4,23:00,Home,Lose
113,38.6,16:00,Not Home,Lose
79,37.6,5:00,Home,Win
64,38.2,11:00,Home,Win
106,38.1,23:00,Not Home,Lose
79,35.5,9:00,Home,Win
65,38.8,21:00,Not Home,Lose
118,37,15:00,Home,Lose
75,36.3,18:00,Home,Win
55,36.7,7:00,Home,Win
95,36.5,16:00,Not Home,Win
95,39.2,19:00,Home,Win
95,38,15:00,Not Home,Lose
110,37.8,3:00,Not Home,Lose
116,39.4,23:00,Home,Lose
73,38.6,14:00,Not Home,Lose
56,36,8:00,Home,Win
74,37.9,15:00,Not Home,Lose
107,38.7,7:00,Not Home,Lose
66,38.8,1:00,Not Home,Lose
96,38,15:00,Home,Win
106,36.7,21:00,Home,Win
70,38.4,13:00,Home,Win
63,38.3,9:00,Home,Lose
119,38,15:00,Home,Lose
61,37.8,7:00,Not Home,Lose
84,38.5,5:00,Not Home,Lose
86,39.4,11:00,Not Home,Lose
73,37.1,5:00,Not Home,Lose
99,37.7,11:00,Home,Win
78,35.9,13:00,Home,Win
71,37.8,21:00,Not Home,Lose
119,36.9,13:00,Not Home,Lose
62,39.1,15:00,Home,Win
67,36,7:00,Not Home,Lose
62,39.5,17:00,Not Home,Lose
81,36.6,0:00,Not Home,Lose
72,35.6,7:00,Home,Win
83,36.1,2:00,Home,Win
102,36.2,21:00,Home,Win
102,36.2,12:00,Not Home,Win
79,39.3,7:00,Not Home,Lose
105,36.9,17:00,Not Home,Win
88,35.3,11:00,Home,Win
84,37.5,3:00,Not Home,Lose
94,37.5,16:00,Not Home,Win
50,36.8,7:00,Not Home,Lose
91,37.7,10:00,Home,Win
62,35.2,23:00,Home,Win
116,36.6,11:00,Home,Lose
107,37.7,7:00,Not Home,Lose
113,36.3,19:00,Home,Lose
101,37.8,10:00,Home,Win
52,35.2,5:00,Home,Win
98,35.3,23:00,Home,Win
69,36.5,6:00,Not Home,Lose
84,39.5,3:00,Not Home,Lose
83,38.8,0:00,Not Home,Lose
90,36.3,4:00,Home,Win
88,38.8,4:00,Not Home,Lose
113,35.2,0:00,Home,Lose
96,36.7,23:00,Not Home,Lose
84,36.1,1:00,Home,Win
90,36,10:00,Not Home,Win
76,35,15:00,Not Home,Win
67,38.5,12:00,Home,Win
85,35.3,6:00,Not Home,Lose
66,37,9:00,Home,Win
107,35.2,15:00,Not Home,Win
101,37.3,15:00,Not Home,Win
116,35.4,22:00,Home,Lose
63,37.8,3:00,Not Home,Lose
81,36.2,4:00,Not Home,Lose
57,37.6,5:00,Home,Win
116,36.4,18:00,Home,Lose
88,36.6,19:00,Not Home,Win
51,35.1,4:00,Not Home,Lose
83,36.4,5:00,Home,Win
102,35.1,19:00,Home,Win
58,35.5,20:00,Home,Win
111,37.6,15:00,Home,Lose
83,39.4,13:00,Home,Win
78,36.8,15:00,Home,Win
117,36,4:00,Home,Lose
101,35.9,5:00,Not Home,Lose
50,37.8,19:00,Not Home,Win
68,39.5,9:00,Home,Lose
74,38.8,19:00,Home,Win
53,38.3,10:00,Home,Win
57,35.7,2:00,Not Home,Lose
64,37,3:00,Not Home,Lose
82,35.9,5:00,Home,Win
68,38.6,13:00,Home,Win
80,35.6,0:00,Home,Win
84,36.6,13:00,Not Home,Win
77,36.2,15:00,Not Home,Win
115,38.4,5:00,Not Home,Lose
118,35.4,23:00,Home,Lose
52,38,18:00,Home,Win
58,36.7,15:00,Home,Win
77,37.1,14:00,Home,Win
57,39.1,10:00,Home,Win
54,37,9:00,Not Home,Lose
93,35.5,17:00,Home,Win
104,37.5,18:00,Home,Win
59,38.8,23:00,Home,Lose
65,37.9,16:00,Home,Win
91,38.1,4:00,Home,Win
65,35.1,8:00,Not Home,Lose
109,37.1,13:00,Home,Win
73,37.9,12:00,Home,Win
51,36.5,7:00,Not Home,Lose
87,37.6,11:00,Home,Win
75,37.9,19:00,Not Home,Lose
74,36.2,12:00,Not Home,Win
57,36,12:00,Not Home,Win
84,39.1,14:00,Home,Win
98,38.5,14:00,Home,Win
60,39,14:00,Home,Win
68,36.1,13:00,Not Home,Win
112,37.4,5:00,Not Home,Lose
94,36.6,12:00,Not Home,Win
73,38.9,3:00,Not Home,Lose
89,37.3,6:00,Home,Win
67,39.6,16:00,Home,Win
100,36.8,8:00,Home,Win
102,39.3,2:00,Not Home,Lose
102,38.3,3:00,Not Home,Lose
101,38.1,14:00,Not Home,Lose
81,37.8,4:00,Not Home,Lose
80,36.1,12:00,Home,Win
80,38.9,0:00,Not Home,Lose
112,38.6,19:00,Not Home,Lose
119,37.6,4:00,Home,Lose
111,35.7,14:00,Not Home,Lose
55,36.6,7:00,Home,Win
90,37.3,9:00,Home,Win
54,37.1,14:00,Home,Win
108,37.3,21:00,Home,Win
85,35,10:00,Not Home,Win
73,38.5,7:00,Home,Lose
83,38.1,17:00,Not Home,Lose
94,39.1,21:00,Not Home,Lose
79,35.2,5:00,Home,Win
69,39.3,10:00,Home,Win
93,35.1,2:00,Home,Win
80,36.6,7:00,Home,Win
82,35.5,11:00,Not Home,Win
67,36.7,4:00,Home,Win
118,36.5,21:00,Home,Lose
73,36.8,18:00,Not Home,Win
57,36.6,22:00,Not Home,Win
66,37.9,1:00,Home,Win
65,36.7,13:00,Not Home,Win
105,39.1,4:00,Not Home,Lose
104,35.9,13:00,Home,Win
64,35.2,21:00,Home,Win
98,35.3,5:00,Home,Win
114,36.8,14:00,Not Home,Lose
64,35.4,2:00,Not Home,Lose
77,38.6,4:00,Not Home,Lose
68,36.3,3:00,Not Home,Lose
106,37.7,6:00,Home,Win
94,37.4,21:00,Home,Win
97,38.7,3:00,Not Home,Lose
53,39.5,22:00,Home,Win
117,38.4,13:00,Home,Lose
114,37.1,13:00,Home,Lose
99,39.4,8:00,Not Home,Lose
73,39.2,2:00,Not Home,Lose
106,38.3,12:00,Home,Win
80,36.5,20:00,Not Home,Win
66,39.2,2:00,Home,Lose
63,38.5,20:00,Home,Win
117,39,23:00,Not Home,Lose
110,36.4,16:00,Home,Lose
66,38.2,10:00,Not Home,Lose
77,38.7,19:00,Not Home,Lose
102,36.9,19:00,Home,Win
111,37.3,1:00,Home,Lose
68,37.6,2:00,Not Home,Lose
94,37.2,17:00,Home,Win
73,35.1,19:00,Home,Win
51,38.3,9:00,Not Home,Lose
87,37,6:00,Not Home,Lose
91,38.9,4:00,Not Home,Lose
89,38.1,12:00,Home,Win
61,39.1,9:00,Home,Lose
96,38.5,11:00,Home,Win
57,37.1,10:00,Not Home,Win
118,38.7,7:00,Not Home,Lose
62,38.3,13:00,Not Home,Lose
90,36.8,21:00,Home,Win
119,37.1,23:00,Not Home,Lose
98,38.2,9:00,Home,Lose
84,36.6,1:00,Home,Win
117,36.1,15:00,Home,Lose
81,37.6,6:00,Home,Win
65,35.3,7:00,Home,Win
54,36.7,23:00,Not Home,Lose
52,35.8,9:00,Not Home,Lose
68,38.3,0:00,Home,Lose
70,36.3,5:00,Home,Win
109,39,15:00,Not Home,Lose
85,37.9,4:00,Not Home,Lose
95,36.6,2:00,Not Home,Lose
77,39.3,11:00,Home,Win
57,37.6,23:00,Not Home,Lose
58,38.4,6:00,Not Home,Lose
106,36.7,5:00,Not Home,Lose
115,37.8,4:00,Home,Lose
75,37.8,4:00,Home,Win
96,38.7,19:00,Home,Win
72,35.1,1:00,Home,Win
98,35.5,4:00,Home,Win
108,36.2,4:00,Home,Win
54,38,1:00,Home,Win
94,38.3,18:00,Not Home,Lose
105,35.2,8:00,Home,Win
112,39.3,17:00,Not Home,Lose
94,37.6,4:00,Not Home,Lose
103,36.7,23:00,Not Home,Lose
79,35.9,13:00,Home,Win
89,37,21:00,Not Home,Win
104,35.6,14:00,Not Home,Win
85,35.1,12:00,Home,Win
85,35.4,11:00,Not Home,Win
107,36.2,16:00,Home,Win
98,35.7,17:00,Not Home,Win
71,39.2,0:00,Not Home,Lose
104,37,14:00,Not Home,Win
66,38.3,5:00,Home,Lose
54,37.7,12:00,Not Home,Lose
105,39.1,20:00,Not Home,Lose
114,37.7,23:00,Home,Lose
67,37,5:00,Home,Win
114,35.8,6:00,Home,Lose
117,39.1,22:00,Home,Lose
107,38.1,7:00,Home,Win
100,38.4,1:00,Not Home,Lose
109,37.6,12:00,Home,Win
69,37.5,3:00,Not Home,Lose
66,38.3,18:00,Home,Win
82,35.4,20:00,Not Home,Win
105,37.8,7:00,Not Home,Lose
84,36.8,10:00,Home,Win
87,35.1,7:00,Home,Win
99,35.8,4:00,Not Home,Lose
97,36.6,23:00,Not Home,Lose
79,37.1,22:00,Home,Win
55,38.1,1:00,Not Home,Lose
101,37.9,8:00,Not Home,Lose
53,38.2,19:00,Not Home,Lose
98,38.8,0:00,Home,Lose
110,37.2,0:00,Not Home,Lose
86,38.2,8:00,Not Home,Lose
74,35.3,7:00,Not Home,Lose
95,38.8,18:00,Home,Win
87,35.8,16:00,Not Home,Win
114,35.1,23:00,Not Home,Lose
115,37.2,12:00,Not Home,Lose
65,37.5,6:00,Not Home,Lose
82,37.1,23:00,Home,Win
62,36.6,23:00,Not Home,Lose
108,36.9,6:00,Not Home,Lose
111,38.3,8:00,Home,Lose
51,35.2,16:00,Home,Win
91,35.1,10:00,Home,Win
78,37.7,17:00,Home,Win
107,38,21:00,Home,Win
53,37.4,19:00,Not Home,Win
56,37.6,21:00,Not Home,Win
103,38.1,10:00,Not Home,Lose
58,36,10:00,Home,Win
55,38.5,5:00,Home,Lose
57,39.4,13:00,Not Home,Lose
113,37.9,19:00,Not Home,Lose
109,35.8,10:00,Home,Win
69,36.7,17:00,Not Home,Win
102,35.8,20:00,Home,Win
83,35.2,8:00,Home,Win
93,36.4,15:00,Not Home,Win
76,38.1,8:00,Home,Win
74,39.5,5:00,Not Home,Lose
59,36.6,4:00,Home,Win
54,37.8,10:00,Home,Win
113,39.6,10:00,Home,Lose
61,38.1,5:00,Home,Win
117,37,10:00,Not Home,Lose
94,35.7,10:00,Not Home,Win
111,36.6,18:00,Not Home,Lose
110,35.2,7:00,Not Home,Lose
90,38.4,9:00,Not Home,Lose
65,36.5,19:00,Not Home,Win
97,36.5,16:00,Home,Win
92,36.4,23:00,Home,Win
78,39,12:00,Not Home,Lose
92,38.8,16:00,Home,Win
65,37.3,14:00,Home,Win
67,37,10:00,Home,Win
78,38.7,12:00,Home,Win
86,37.2,18:00,Home,Win
106,37.7,8:00,Home,Win
70,38.9,18:00,Not Home,Lose
117,39.3,15:00,Home,Lose
76,36.7,17:00,Home,Win
105,36.7,13:00,Home,Win
102,35,7:00,Not Home,Lose
109,38.3,3:00,Home,Lose
102,38.5,2:00,Home,Lose
90,36.8,5:00,Home,Win
69,37.9,3:00,Not Home,Lose
65,36.8,2:00,Home,Win
58,38.7,19:00,Home,Win
113,38.8,7:00,Not Home,Lose
116,38.4,5:00,Not Home,Lose
116,39.1,20:00,Not Home,Lose
76,35.7,18:00,Home,Win
67,39,23:00,Home,Lose
53,38.1,5:00,Not Home,Lose
104,38.8,14:00,Home,Win
61,39.1,22:00,Not Home,Lose
111,39.2,4:00,Home,Lose
68,37.9,4:00,Not Home,Lose
108,36.8,1:00,Not Home,Lose
58,38,5:00,Not Home,Lose
104,35.9,3:00,Home,Win
89,38.4,13:00,Home,Win
106,36.8,3:00,Not Home,Lose
97,36.8,0:00,Home,Win
77,39.4,4:00,Not Home,Lose
112,37.1,15:00,Not Home,Lose
67,37.7,21:00,Home,Win
84,37.2,9:00,Not Home,Lose
110,35.3,0:00,Home,Lose
51,35.9,8:00,Home,Win
94,36.2,17:00,Home,Win
82,35,19:00,Not Home,Win
58,39.4,3:00,Not Home,Lose
56,36.8,6:00,Not Home,Lose
63,35.4,1:00,Home,Win
64,35.5,6:00,Not Home,Lose
111,35.1,8:00,Not Home,Lose
72,38,9:00,Not Home,Lose
62,36.7,17:00,Home,Win
116,38.6,1:00,Not Home,Lose
72,37.8,6:00,Not Home,Lose
106,38.2,5:00,Not Home,Lose
119,36.6,6:00,Not Home,Lose
94,36.6,9:00,Not Home,Lose
88,36.5,3:00,Home,Win
98,39.1,17:00,Home,Win
74,36.2,13:00,Home,Win
96,37.6,8:00,Not Home,Lose
89,36.3,12:00,Home,Win
80,39.5,12:00,Home,Win
72,37.6,4:00,Home,Win
68,35.1,20:00,Home,Win
70,38.4,18:00,Not Home,Lose
82,38.6,21:00,Home,Win
95,38.8,9:00,Home,Lose
108,36.6,23:00,Not Home,Lose
50,38.2,2:00,Home,Lose
90,37.9,19:00,Home,Win
57,38,4:00,Not Home,Lose
62,36.1,12:00,Home,Win
99,38.2,18:00,Home,Win
79,38.9,7:00,Home,Lose
100,35.5,21:00,Home,Win
75,36.7,9:00,Not Home,Lose
101,37.8,8:00,Not Home,Lose
61,37,15:00,Not Home,Win
98,37.8,7:00,Not Home,Lose
104,36.5,20:00,Home,Win
58,36.4,18:00,Not Home,Win
57,36.2,5:00,Not Home,Lose
74,37.8,4:00,Not Home,Lose
87,37.1,17:00,Home,Win
91,37.3,3:00,Not Home,Lose
78,39.1,4:00,Not Home,Lose
105,35.1,22:00,Not Home,Win
59,37.6,11:00,Home,Win
60,37.6,0:00,Not Home,Lose
94,35.9,7:00,Home,Win
63,38.6,2:00,Home,Lose
73,36,8:00,Not Home,Lose
59,39.2,2:00,Home,Lose
90,37.8,6:00,Not Home,Lose
74,39.2,17:00,Home,Win
64,38.4,1:00,Home,Lose
95,39,0:00,Not Home,Lose
91,37,17:00,Home,Win
64,36.7,19:00,Home,Win
118,35.6,2:00,Not Home,Lose
70,37.3,16:00,Home,Win
84,35.4,18:00,Not Home,Win
68,36.2,22:00,Home,Win
53,39.2,18:00,Home,Win
55,38.2,10:00,Not Home,Lose
95,36.1,22:00,Home,Win
87,39.1,3:00,Home,Lose
91,37.9,6:00,Not Home,Lose
102,36.7,17:00,Not Home,Win
74,38.4,18:00,Not Home,Lose
54,38,1:00,Not Home,Lose
91,38.6,12:00,Home,Win
56,35,19:00,Home,Win
61,37.3,5:00,Home,Win
95,35.5,17:00,Home,Win
81,37.6,10:00,Not Home,Lose
53,36.2,23:00,Not Home,Lose
83,38.6,9:00,Home,Lose
68,38.7,2:00,Not Home,Lose
71,37.6,20:00,Not Home,Lose
110,38.9,17:00,Home,Lose
115,37.6,17:00,Not Home,Lose
58,37,10:00,Home,Win
92,35.4,3:00,Home,Win
91,36.2,1:00,Home,Win
77,36.7,20:00,Home,Win
108,39.1,17:00,Not Home,Lose
96,37.2,3:00,Not Home,Lose
78,39.6,18:00,Not Home,Lose
79,39.2,17:00,Home,Win
96,35.9,10:00,Home,Win
55,38.9,0:00,Not Home,Lose
64,37.5,18:00,Home,Win
68,35.1,14:00,Not Home,Win
63,35.1,0:00,Home,Win
92,39.5,3:00,Not Home,Lose
103,36.4,21:00,Home,Win
100,35,13:00,Home,Win
87,35.2,7:00,Not Home,Lose
88,35.8,7:00,Home,Win
54,35.8,7:00,Not Home,Lose
119,36,19:00,Not Home,Lose
57,38.2,16:00,Not Home,Lose
76,37.6,1:00,Not Home,Lose
112,36.7,1:00,Not Home,Lose
76,38.1,1:00,Not Home,Lose
94,37.5,12:00,Home,Win
57,37.9,13:00,Not Home,Win
60,37.5,12:00,Not Home,Win
99,37.7,8:00,Not Home,Lose
98,36.9,18:00,Home,Win
105,37.7,10:00,Home,Win
76,35.4,19:00,Not Home,Win
112,38.4,10:00,Home,Lose
98,39.2,19:00,Home,Win
72,38.4,8:00,Home,Lose
68,35.6,18:00,Home,Win
118,38.8,13:00,Not Home,Lose
103,36.9,23:00,Home,Win
100,38.5,16:00,Not Home,Lose
92,35.6,10:00,Home,Win
77,37.1,9:00,Not Home,Lose
79,38.1,22:00,Home,Win
87,38.8,20:00,Home,Win
115,38.7,10:00,Home,Lose
82,38.3,21:00,Home,Win
58,38.5,17:00,Home,Win
63,37,4:00,Not Home,Lose
75,38.5,8:00,Not Home,Lose
102,36.1,1:00,Not Home,Lose
55,35.4,23:00,Home,Win
55,36.4,1:00,Not Home,Lose
97,39.6,14:00,Not Home,Lose
54,35.9,16:00,Not Home,Win
93,35.6,16:00,Home,Win
61,37.9,12:00,Not Home,Lose
81,39.1,19:00,Not Home,Lose
56,37.4,19:00,Not Home,Win
53,38,7:00,Not Home,Lose
107,38.3,13:00,Not Home,Lose
103,35.2,15:00,Home,Win
71,39.3,14:00,Home,Win
106,36.2,15:00,Home,Win
115,38.5,6:00,Not Home,Lose
87,36.7,3:00,Not Home,Lose
114,38.6,1:00,Home,Lose
71,38.1,8:00,Home,Lose
89,38,17:00,Home,Win
69,38.1,8:00,Home,Win
104,39.3,15:00,Not Home,Lose
95,37.8,20:00,Home,Win
61,35.8,5:00,Home,Win
82,36.9,5:00,Not Home,Lose
61,38,6:00,Not Home,Lose
112,35.4,7:00,Not Home,Lose
97,37.6,3:00,Not Home,Lose
107,39.5,11:00,Home,Win
74,39,9:00,Not Home,Lose
58,36.1,0:00,Not Home,Lose
55,39.1,13:00,Not Home,Lose
93,39.2,22:00,Not Home,Lose
69,36.2,16:00,Home,Win
63,35.4,2:00,Home,Win
85,39.3,23:00,Not Home,Lose
90,39.3,11:00,Home,Win
52,35.8,21:00,Home,Win
87,36,3:00,Home,Win
93,35.1,5:00,Home,Win
115,37.3,0:00,Home,Lose
119,39.2,15:00,Home,Lose
85,38.1,9:00,Not Home,Lose
115,35.6,18:00,Home,Lose
116,38.7,15:00,Not Home,Lose
101,39.1,13:00,Home,Win
79,36.9,23:00,Home,Win
70,39.5,7:00,Home,Lose
95,38.7,7:00,Home,Lose
80,36.1,1:00,Home,Win
96,36.3,17:00,Not Home,Win
60,35,15:00,Not Home,Win
51,36.5,8:00,Not Home,Lose
118,37.7,17:00,Not Home,Lose
99,38.7,20:00,Not Home,Lose
109,38.4,9:00,Home,Lose
109,36.1,13:00,Not Home,Win
67,39.2,7:00,Home,Lose
116,39.4,20:00,Not Home,Lose
78,37.7,1:00,Home,Win
99,38.3,16:00,Home,Win
116,35.4,4:00,Home,Lose
93,36.8,12:00,Not Home,Win
76,35.1,20:00,Home,Win
102,38.6,13:00,Home,Win
94,38,15:00,Home,Win
79,39.3,6:00,Home,Lose
55,37.7,17:00,Not Home,Win
70,36.1,17:00,Home,Win
66,39.3,14:00,Home,Win
59,38.3,1:00,Home,Lose
84,38.3,7:00,Home,Lose
75,35.5,15:00,Home,Win
75,36.1,23:00,Home,Win
107,35.4,20:00,Not Home,Win
56,36.8,19:00,Home,Win
62,39.6,15:00,Not Home,Lose
95,38,5:00,Not Home,Lose
50,37.7,1:00,Home,Win
71,38.3,2:00,Home,Lose
75,38.9,18:00,Not Home,Lose
99,38.7,12:00,Home,Win
94,35.8,1:00,Not Home,Lose
57,36,15:00,Not Home,Win
84,39.4,1:00,Home,Lose
114,35.4,0:00,Home,Lose
67,39,15:00,Not Home,Lose
70,35.7,3:00,Not Home,Lose
79,37.1,19:00,Home,Win
66,38.4,17:00,Not Home,Lose
66,36.3,16:00,Home,Win
70,38.1,7:00,Not Home,Lose
71,38,7:00,Home,Win
70,39.1,1:00,Home,Lose
91,37.6,5:00,Not Home,Lose
106,37.8,20:00,Home,Win
95,38.9,19:00,Home,Win
112,36.3,1:00,Not Home,Lose
75,36.2,22:00,Not Home,Win
62,38.9,4:00,Not Home,Lose
53,35.2,21:00,Home,Win
102,38.4,19:00,Home,Win
86,38.2,17:00,Home,Win
66,37.8,16:00,Not Home,Win
95,38,8:00,Home,Win
110,36.9,16:00,Not Home,Lose
111,39.2,18:00,Home,Lose
62,36.1,10:00,Not Home,Win
105,35,13:00,Not Home,Win
90,36.2,4:00,Home,Win
77,35.7,9:00,Not Home,Lose
113,36,5:00,Not Home,Lose
75,36.2,1:00,Home,Win
62,35.2,3:00,Not Home,Lose
78,36.6,10:00,Not Home,Win
80,36.8,10:00,Not Home,Win
87,35.1,19:00,Not Home,Win
94,38.3,10:00,Home,Win
62,37.8,5:00,Not Home,Lose
102,39.3,5:00,Not Home,Lose
69,35.9,6:00,Not Home,Lose
79,38,1:00,Not Home,Lose
73,35.2,5:00,Home,Win
93,38.5,12:00,Home,Win
114,36.2,14:00,Not Home,Lose
77,39.1,0:00,Home,Lose
111,39.6,1:00,Home,Lose
100,36.8,8:00,Home,Win
69,38.8,7:00,Home,Lose
56,38.3,22:00,Not Home,Lose
80,37.4,16:00,Not Home,Win
76,37.8,0:00,Not Home,Lose
100,38.2,8:00,Not Home,Lose
77,36,3:00,Home,Win
84,36.7,5:00,Not Home,Lose
100,36.8,20:00,Not Home,Win
118,37.3,12:00,Home,Lose
71,39.1,12:00,Home,Win
118,38.3,18:00,Home,Lose
52,36.9,23:00,Home,Win
57,36.7,23:00,Home,Win
94,39.4,7:00,Not Home,Lose
65,37.9,18:00,Home,Win
58,35.2,7:00,Home,Win
75,37.5,15:00,Home,Win
76,38.7,1:00,Home,Lose
59,38.2,10:00,Home,Win
74,35.3,6:00,Home,Win
67,35.9,12:00,Home,Win
116,38.7,19:00,Home,Lose
118,35.3,19:00,Home,Lose
63,39.3,16:00,Not Home,Lose
79,36.2,14:00,Not Home,Win
94,39.6,20:00,Not Home,Lose
104,38.1,4:00,Home,Lose
103,35.8,6:00,Not Home,Lose
71,39.5,3:00,Not Home,Lose
105,35.4,18:00,Not Home,Win
84,39,3:00,Home,Lose
101,37.4,1:00,Home,Win
50,37.8,21:00,Not Home,Lose
56,38.2,5:00,Not Home,Lose
87,35,22:00,Not Home,Win
52,35.9,10:00,Home,Win
106,35.8,3:00,Home,Win
72,36.9,3:00,Not Home,Lose
61,38.2,14:00,Not Home,Lose
99,38.6,16:00,Not Home,Lose
60,36.3,21:00,Not Home,Win
109,39.4,11:00,Not Home,Lose
50,37.9,11:00,Home,Win
65,37,2:00,Home,Win
83,36,2:00,Not Home,Lose
72,35.9,23:00,Home,Win
104,36.5,16:00,Home,Win
66,37.4,6:00,Not Home,Lose
81,38.2,15:00,Not Home,Lose
105,35.4,7:00,Not Home,Lose
99,37.3,23:00,Not Home,Lose
78,39.6,5:00,Home,Lose
118,35.7,1:00,Home,Lose
110,36.7,15:00,Not Home,Lose
58,36.2,23:00,Home,Win
70,38.5,6:00,Not Home,Lose
64,35.8,7:00,Home,Win
57,35.5,3:00,Home,Win
111,38.8,6:00,Home,Lose
116,35.8,4:00,Not Home,Lose
119,35.6,17:00,Not Home,Lose
110,35.4,3:00,Not Home,Lose
